,Date,Company,Ticker,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Performed,Year,Month,Day,Day of Week,1st Day Open to Close % Chg,1st Day Open to Close $ Chg
134,2020-07-30,Churchill Capital Corp IV ,CCIV.U,Citigroup,10.0,10.06,10.0,0.0,0.0600000000000005,0.0,1.0,,2020,7,30,3,-0.0059642147117296715,-0.0600000000000005
135,2020-07-30,Li Auto,LI,Goldman Sachs (Asia)/ Morgan Stanley/ UBS Investment Bank/ CICC,11.5,15.5,16.46,0.431304347826087,4.0,4.960000000000001,3.0,,2020,7,30,3,0.0619354838709678,0.9600000000000009
136,2020-07-31,1847 Goedeker ,GOED,ThinkEquity (a division of Fordham Financial Management),9.0,9.4,8.9,-0.011111111111111072,0.40000000000000036,-0.09999999999999964,1.0,,2020,7,31,4,-0.05319148936170213,-0.5
137,2020-07-31,NewHold Investment ,NHICU,Stifel,10.0,9.92,9.91,-0.008999999999999985,-0.08000000000000007,-0.08999999999999986,1.0,,2020,7,31,4,-0.0010080645161290108,-0.009999999999999787
138,2020-07-31,E.Merge Technology Acquisition ,ETACU,Cantor/ Mizuho Securities,10.0,10.05,10.0,0.0,0.05000000000000071,0.0,1.0,,2020,7,31,4,-0.004975124378109523,-0.05000000000000071
139,2020-07-31,Fathom Holdings ,FTHM,Roth Capital Partners,10.0,11.5,10.03,0.002999999999999936,1.5,0.02999999999999936,2.0,,2020,7,31,4,-0.12782608695652178,-1.4700000000000006
140,2020-07-31,CC Neuberger Principal Holdings II ,PRPB.U,Credit Suisse. Citigroup/ Morgan Stanley,10.0,10.15,10.07,0.007000000000000029,0.15000000000000036,0.07000000000000028,1.0,,2020,7,31,4,-0.007881773399014785,-0.08000000000000007
141,2020-07-31,Vasta Platform Limited ,VSTA,Goldman Sachs/BofA Securities/ Morgan Stanley/ Itau BBA,19.0,22.1,18.85,-0.007894736842105189,3.1000000000000014,-0.14999999999999858,2.0,,2020,7,31,4,-0.14705882352941174,-3.25
142,2020-07-31,Vital Farms ,VITL,Goldman Sachs/ Morgan Stanley/ Credit Suisse,22.0,35.0,35.26,0.6027272727272727,13.0,13.259999999999998,3.0,,2020,7,31,4,0.007428571428571372,0.259999999999998
143,2020-08-04,Health Sciences Acquisitions Corp 2 ,HSAQ,Chardan/ Barclays,10.0,11.41,11.4,0.14000000000000004,1.4100000000000001,1.4000000000000004,1.0,Missed,2020,8,4,1,-0.0008764241893076062,-0.009999999999999787
144,2020-08-04,Yucaipa Acquisition ,"YAC,U",Citigroup,10.0,10.02,10.01,0.0009999999999999788,0.019999999999999574,0.009999999999999787,1.0,,2020,8,4,1,-0.0009980039920159467,-0.009999999999999787
145,2020-08-05,BigCommerce Holdings ,BIGC,Morgan Stanley/ Barclays/ Jefferies/ KeyBanc Capital Markets,24.0,68.0,72.27,2.01125,44.0,48.269999999999996,3.0,,2020,8,5,2,0.06279411764705876,4.269999999999996
146,2020-08-05,Rackspace Technology,RXT,Goldman Sachs/ Citigroup/ JPMorgan,21.0,16.85,16.39,-0.2195238095238095,-4.149999999999999,-4.609999999999999,2.0,Missed,2020,8,5,2,-0.027299703264095004,-0.46000000000000085
147,2020-08-05,GO Acquisition ,GOAC.U,Credit Suisse,10.0,10.0,10.0,0.0,0.0,0.0,1.0,,2020,8,5,2,0.0,0.0
